supplier,temperature_k,size,pressure_bar,he_loss_kg_year
Swagelok SS-42GSE (UHMWPE),300,DN06,12,4.861409086446386e-08
Swagelok SS-42GSE (UHMWPE),300,DN12,1,5.063967798381652e-09
Swagelok SS-42GSE (UHMWPE),300,DN12,2,1.0127935596763304e-08
Swagelok SS-42GSE (UHMWPE),300,DN12,3,1.5191903395144956e-08
Swagelok SS-42GSE (UHMWPE),300,DN12,4,2.025587119352661e-08
Swagelok SS-42GSE (UHMWPE),300,DN12,5,2.531983899190826e-08
Swagelok SS-42GSE (UHMWPE),300,DN12,6,3.038380679028991e-08
Swagelok SS-42GSE (UHMWPE),300,DN12,7,3.544777458867156e-08
Swagelok SS-42GSE (UHMWPE),300,DN12,8,4.051174238705322e-08
Swagelok SS-42GSE (UHMWPE),300,DN12,9,4.557571018543488e-08
Swagelok SS-42GSE (UHMWPE),300,DN12,10,5.063967798381652e-08
Swagelok SS-42GSE (UHMWPE),300,DN12,11,5.5703645782198177e-08
Swagelok SS-42GSE (UHMWPE),300,DN12,12,6.076761358057983e-08
Swagelok SS-42GSE (UHMWPE),300,DN25,1,6.329959747977065e-09
Swagelok SS-42GSE (UHMWPE),300,DN25,2,1.265991949595413e-08
Swagelok SS-42GSE (UHMWPE),300,DN25,3,1.8989879243931196e-08
Swagelok SS-42GSE (UHMWPE),300,DN25,4,2.531983899190826e-08
Swagelok SS-42GSE (UHMWPE),300,DN25,5,3.164979873988533e-08
Swagelok SS-42GSE (UHMWPE),300,DN25,6,3.797975848786239e-08
Swagelok SS-42GSE (UHMWPE),300,DN25,7,4.430971823583945e-08
Swagelok SS-42GSE (UHMWPE),300,DN25,8,5.063967798381652e-08
Swagelok SS-42GSE (UHMWPE),300,DN25,9,5.69696377317936e-08
Swagelok SS-42GSE (UHMWPE),300,DN25,10,6.329959747977066e-08
Swagelok SS-42GSE (UHMWPE),300,DN25,11,6.962955722774772e-08
Swagelok SS-42GSE (UHMWPE),300,DN25,12,7.595951697572478e-08
Swagelok SS-42GSE (UHMWPE),300,DN50,1,8.102348477410644e-09
Swagelok SS-42GSE (UHMWPE),300,DN50,2,1.620469695482129e-08
Swagelok SS-42GSE (UHMWPE),300,DN50,3,2.430704543223193e-08
Swagelok SS-42GSE (UHMWPE),300,DN50,4,3.240939390964258e-08
Swagelok SS-42GSE (UHMWPE),300,DN50,5,4.051174238705322e-08
Swagelok SS-42GSE (UHMWPE),300,DN50,6,4.861409086446386e-08
Swagelok SS-42GSE (UHMWPE),300,DN50,7,5.67164393418745e-08
Swagelok SS-42GSE (UHMWPE),300,DN50,8,6.481878781928515e-08
Swagelok SS-42GSE (UHMWPE),300,DN50,9,7.292113629669581e-08
Swagelok SS-42GSE (UHMWPE),300,DN50,10,8.102348477410643e-08
Swagelok SS-42GSE (UHMWPE),300,DN50,11,8.912583325151709e-08
Swagelok SS-42GSE (UHMWPE),300,DN50,12,9.722818172892773e-08
