Hours,Air leak (mbar·l/s),Purity (%)
4269.949748743718,1e-05,99.99692573069512
4313.969849246231,1e-05,99.99689403818152
4357.989949748744,1e-05,99.99686234568802
4402.010050251256,1e-05,99.9968306532146
4446.030150753769,1e-05,99.99679896076125
4490.050251256282,1e-05,99.99676726832801
4534.070351758794,1e-05,99.99673557591487
4578.090452261306,1e-05,99.99670388352179
4622.110552763819,1e-05,99.99667219114882
4666.130653266332,1e-05,99.99664049879591
4710.150753768844,1e-05,99.99660880646313
4754.170854271357,1e-05,99.99657711415041
4798.19095477387,1e-05,99.99654542185779
4842.211055276382,1e-05,99.99651372958526
4886.231155778894,1e-05,99.9964820373328
4930.251256281407,1e-05,99.99645034510046
4974.271356783919,1e-05,99.99641865288818
5018.291457286432,1e-05,99.996386960696
5062.311557788945,1e-05,99.9963552685239
5106.331658291458,1e-05,99.9963235763719
5150.35175879397,1e-05,99.99629188424
5194.371859296482,1e-05,99.99626019212816
5238.391959798995,1e-05,99.99622850003644
5282.412060301507,1e-05,99.99619680796478
5326.43216080402,1e-05,99.99616511591321
5370.452261306533,1e-05,99.99613342388174
5414.472361809045,1e-05,99.99610173187037
5458.492462311558,1e-05,99.99607003987907
5502.51256281407,1e-05,99.99603834790787
5546.532663316583,1e-05,99.99600665595675
5590.552763819095,1e-05,99.99597496402572
5634.572864321608,1e-05,99.99594327211477
5678.592964824121,1e-05,99.99591158022393
5722.613065326633,1e-05,99.99587988835316
5766.633165829146,1e-05,99.99584819650248
5810.653266331658,1e-05,99.9958165046719
5854.673366834171,1e-05,99.9957848128614
5898.693467336683,1e-05,99.99575312107099
5942.713567839196,1e-05,99.99572142930066
5986.733668341709,1e-05,99.99568973755044
6030.753768844221,1e-05,99.99565804582028
6074.773869346734,1e-05,99.99562635411023
6118.793969849246,1e-05,99.99559466242025
6162.814070351758,1e-05,99.99556297075037
6206.834170854271,1e-05,99.99553127910058
6250.854271356784,1e-05,99.99549958747087
6294.874371859297,1e-05,99.99546789586124
6338.894472361809,1e-05,99.99543620427171
6382.914572864322,1e-05,99.99540451270228
6426.934673366834,1e-05,99.99537282115293
6470.954773869346,1e-05,99.99534112962365
6514.974874371859,1e-05,99.99530943811448
6558.994974874372,1e-05,99.99527774662539
6603.015075376884,1e-05,99.99524605515639
6647.035175879397,1e-05,99.99521436370748
6691.05527638191,1e-05,99.99518267227864
6735.075376884422,1e-05,99.99515098086991
6779.095477386934,1e-05,99.99511928948127
6823.115577889447,1e-05,99.9950875981127
6867.13567839196,1e-05,99.99505590676422
6911.155778894472,1e-05,99.99502421543583
6955.175879396985,1e-05,99.99499252412754
6999.195979899498,1e-05,99.99496083283933
7043.2160804020095,1e-05,99.99492914157119
7087.236180904522,1e-05,99.99489745032317
7131.256281407035,1e-05,99.99486575909522
7175.276381909548,1e-05,99.99483406788737
7219.29648241206,1e-05,99.99480237669958
7263.316582914573,1e-05,99.9947706855319
7307.336683417086,1e-05,99.9947389943843
7351.356783919598,1e-05,99.99470730325679
7395.37688442211,1e-05,99.99467561214938
7439.396984924623,1e-05,99.99464392106204
7483.417085427136,1e-05,99.99461222999479
7527.437185929648,1e-05,99.99458053894763
7571.457286432161,1e-05,99.99454884792056
7615.477386934674,1e-05,99.99451715691357
7659.497487437186,1e-05,99.99448546592667
7703.517587939698,1e-05,99.99445377495987
7747.537688442211,1e-05,99.99442208401315
7791.557788944723,1e-05,99.9943903930865
7835.577889447236,1e-05,99.99435870217997
7879.597989949749,1e-05,99.9943270112935
7923.618090452262,1e-05,99.99429532042713
7967.638190954774,1e-05,99.99426362958084
8011.658291457286,1e-05,99.99423193875465
8055.678391959799,1e-05,99.99420024794854
8099.698492462311,1e-05,99.99416855716251
8143.718592964824,1e-05,99.99413686639657
8187.738693467337,1e-05,99.99410517565073
8231.75879396985,1e-05,99.99407348492497
8275.778894472362,1e-05,99.99404179421929
8319.798994974873,1e-05,99.9940101035337
8363.819095477387,1e-05,99.99397841286822
8407.8391959799,1e-05,99.99394672222279
8451.859296482413,1e-05,99.99391503159747
8495.879396984925,1e-05,99.99388334099223
8539.899497487437,1e-05,99.99385165040708
8583.91959798995,1e-05,99.99381995984201
8627.939698492462,1e-05,99.99378826929703
8671.959798994974,1e-05,99.99375657877215
8715.979899497488,1e-05,99.99372488826734
8760.0,1e-05,99.99369319778263
0.0,1e-04,100.0
44.02010050251256,1e-04,99.99968305628092
88.04020100502512,1e-04,99.9993661145709
132.0603015075377,1e-04,99.99904917486991
176.08040201005025,1e-04,99.99873223717796
220.1005025125628,1e-04,99.998415301495
264.1206030150754,1e-04,99.99809836782103
308.14070351758795,1e-04,99.99778143615602
352.1608040201005,1e-04,99.99746450649995
396.18090452261305,1e-04,99.99714757885282
440.2010050251256,1e-04,99.9968306532146
484.2211055276382,1e-04,99.99651372958526
528.2412060301508,1e-04,99.99619680796478
572.2613065326633,1e-04,99.99587988835316
616.2814070351759,1e-04,99.99556297075037
660.3015075376884,1e-04,99.99524605515639
704.321608040201,1e-04,99.99492914157119
748.3417085427136,1e-04,99.99461222999479
792.3618090452261,1e-04,99.99429532042713
836.3819095477387,1e-04,99.99397841286822
880.4020100502512,1e-04,99.993661507318
924.4221105527638,1e-04,99.99334460377649
