leak_rate,T (K),g/year,kg/year
1.8671810912919206e-08,300,0.0004727672460024699,4.727672460024699e-07
2.2695105366946686e-08,300,0.0005746364137954831,5.746364137954831e-07
2.7585316176291813e-08,300,0.000698455764124591,6.98455764124591e-07
3.352924149249553e-08,300,0.0008489549961107966,8.489549961107965e-07
4.075392965871778e-08,300,0.0010318829372462889,1.0318829372462889e-06
4.95353520895917e-08,300,0.0012542271393159482,1.2542271393159482e-06
6.020894493336125e-08,300,0.0015244807915853773,1.5244807915853773e-06
7.318242219076181e-08,300,0.0018529671469079427,1.8529671469079428e-06
8.895134973108236e-08,300,0.0022522338533039277,2.252233853303928e-06
1.0811807510766077e-07,300,0.0027375322538410146,2.7375322538410144e-06
1.3141473626117555e-07,300,0.0033273999632970532,3.3273999632970533e-06
1.5973122800602523e-07,300,0.004044368975092346,4.044368975092346e-06
1.9414919457438817e-07,300,0.004915826347032177,4.9158263470321775e-06
2.3598334667821937e-07,300,0.005975060342664184,5.975060342664184e-06
2.8683168133420086e-07,300,0.007262531989160302,7.262531989160302e-06
3.486365227678088e-07,300,0.008827420623179675,8.827420623179676e-06
4.2375871606040634e-07,300,0.010729502462067256,1.0729502462067255e-05
5.150678076168121e-07,300,0.01304143395877286,1.304143395877286e-05
6.260516572014815e-07,300,0.01585152716095885,1.585152716095885e-05
7.609496685459867e-07,300,0.01926712308853034,1.926712308853034e-05
9.249147277217336e-07,300,0.02341869198715896,2.341869198715896e-05
1.124210035062086e-06,300,0.028464817080859555,2.8464817080859556e-05
1.3664483492953245e-06,300,0.03459825219491643,3.4598252194916436e-05
1.6608827826277165e-06,300,0.042053284640566346,4.2053284640566344e-05
2.018760254679039e-06,300,0.051114684611736974,5.1114684611736976e-05
2.4537511066398165e-06,300,0.062128582946336865,6.212858294633686e-05
2.982471286216888e-06,300,0.07551569276500113,7.551569276500112e-05
3.625117049988528e-06,300,0.09178738003253097,9.178738003253096e-05
4.406236427773573e-06,300,0.11156519691150785,0.00011156519691150784
5.355666917706896e-06,300,0.13560462405062818,0.00013560462405062817
6.509675230458163e-06,300,0.164823928724814,0.000164823928724814
7.912342618981327e-06,300,0.2003392411614209,0.00020033924116142092
9.617248711152963e-06,300,0.24350718891153025,0.00024350718891153026
1.1689518164985777e-05,300,0.2959767178304268,0.00029597671783042676
1.4208308325339208e-05,300,0.35975207914497837,0.00035975207914497835
1.7269832906594325e-05,300,0.4372693886121273,0.0004372693886121273
2.0991037201085544e-05,300,0.5314896822046424,0.0005314896822046424
2.551406520031287e-05,300,0.6460120229009715,0.0006460120229009714
3.1011689265747754e-05,300,0.7852109790758227,0.0007852109790758227
3.7693909753883636e-05,300,0.9544037259438539,0.0009544037259438539
4.581597669054491e-05,300,1.160053153061619,0.001160053153061619
5.568813990945267e-05,300,1.410014736266202,0.001410014736266202
6.768750009458528e-05,300,1.7138366041596742,0.0017138366041596742
8.227241341700457e-05,300,2.083124261194268,0.002083124261194268
9.999999999999999e-05,300,2.5319838991908252,0.0025319838991908253
