leak_rate_mbar_l_s,temperature_K,pressure_bar_abs,mass_flow_g_s,mass_flow_g_day,mass_flow_g_year,density_kg_m3,velocity_m_s,speed_of_sound_m_s,mach_est,critical_pressure_ratio,actual_pressure_ratio,is_choked
1e-07,10,12,5.776828426171176e-09,0.0004991179760211896,0.1823028407417395,57.76828426171174,5.092958178940653e-05,185.6948812988504,2.7426486628590675e-07,0.48808375993399744,0.08333333333333333,1.0
1e-07,20,1,2.407011844237989e-10,2.0796582334216227e-05,0.0075959516975724764,2.407011844237989,5.092958178940651e-05,262.6122195960963,1.9393454679198628e-07,0.48808375993399744,1.0,0.0
1e-07,20,5,1.2035059221189947e-09,0.00010398291167108114,0.037979758487862385,12.035059221189945,5.092958178940652e-05,262.6122195960963,1.939345467919863e-07,0.48808375993399744,0.2,1.0
1e-07,20,12,2.888414213085588e-09,0.0002495589880105948,0.09115142037086975,28.88414213085587,5.092958178940653e-05,262.6122195960963,1.9393454679198633e-07,0.48808375993399744,0.08333333333333333,1.0
1e-07,50,1,9.628047376951958e-11,8.318632933686492e-06,0.0030383806790289913,0.9628047376951957,5.092958178940651e-05,415.22637765798396,1.226549769710355e-07,0.48808375993399744,1.0,0.0
1e-07,50,5,4.814023688475978e-10,4.1593164668432454e-05,0.015191903395144953,4.814023688475978,5.092958178940651e-05,415.22637765798396,1.226549769710355e-07,0.48808375993399744,0.2,1.0
1e-07,50,12,1.1553656852342352e-09,9.982359520423793e-05,0.0364605681483479,11.553656852342348,5.092958178940653e-05,415.22637765798396,1.2265497697103553e-07,0.48808375993399744,0.08333333333333333,1.0
1e-07,80,1,6.017529610594973e-11,5.199145583554057e-06,0.0018989879243931191,0.6017529610594973,5.092958178940651e-05,525.2244391921926,9.696727339599314e-08,0.48808375993399744,1.0,0.0
1e-07,80,5,3.008764805297487e-10,2.5995727917770284e-05,0.009494939621965596,3.0087648052974862,5.092958178940652e-05,525.2244391921926,9.696727339599315e-08,0.48808375993399744,0.2,1.0
1e-07,80,12,7.22103553271397e-10,6.23897470026487e-05,0.022787855092717437,7.221035532713968,5.092958178940653e-05,525.2244391921926,9.696727339599317e-08,0.48808375993399744,0.08333333333333333,1.0
1e-07,300,1,1.6046745628253263e-11,1.386438822281082e-06,0.0005063967798381652,0.1604674562825326,5.092958178940653e-05,1017.0927530062459,5.0073684665309745e-08,0.48808375993399744,1.0,0.0
1e-07,300,5,8.02337281412663e-11,6.932194111405408e-06,0.0025319838991908253,0.8023372814126629,5.092958178940652e-05,1017.0927530062459,5.007368466530974e-08,0.48808375993399744,0.2,1.0
1e-07,300,12,1.9256094753903916e-10,1.6637265867372985e-05,0.0060767613580579825,1.9256094753903912,5.092958178940651e-05,1017.0927530062459,5.007368466530973e-08,0.48808375993399744,0.08333333333333333,1.0
1e-06,4,1,1.2035059221189948e-08,0.0010398291167108115,0.37979758487862386,12.035059221189945,0.0005092958178940652,117.44375494779472,4.336508298124952e-06,0.48808375993399744,1.0,0.0
1e-06,4,5,6.017529610594974e-08,0.005199145583554057,1.8989879243931194,60.17529610594973,0.0005092958178940652,117.44375494779472,4.336508298124952e-06,0.48808375993399744,0.2,1.0
1e-06,4,12,1.4442071065427935e-07,0.012477949400529736,4.557571018543486,144.42071065427936,0.0005092958178940651,117.44375494779472,4.336508298124951e-06,0.48808375993399744,0.08333333333333333,1.0
1e-06,10,1,4.814023688475979e-09,0.00041593164668432455,0.15191903395144954,4.814023688475978,0.0005092958178940652,185.6948812988504,2.742648662859067e-06,0.48808375993399744,1.0,0.0
1e-06,10,5,2.4070118442379895e-08,0.002079658233421623,0.7595951697572477,24.07011844237989,0.0005092958178940652,185.6948812988504,2.742648662859067e-06,0.48808375993399744,0.2,1.0
1e-06,10,12,5.776828426171174e-08,0.004991179760211894,1.8230284074173946,57.76828426171174,0.0005092958178940651,185.6948812988504,2.7426486628590662e-06,0.48808375993399744,0.08333333333333333,1.0
1e-06,20,1,2.4070118442379894e-09,0.00020796582334216228,0.07595951697572477,2.407011844237989,0.0005092958178940652,262.6122195960963,1.939345467919863e-06,0.48808375993399744,1.0,0.0
1e-06,20,5,1.2035059221189948e-08,0.0010398291167108115,0.37979758487862386,12.035059221189945,0.0005092958178940652,262.6122195960963,1.939345467919863e-06,0.48808375993399744,0.2,1.0
